work_date,process,line,model,qty,cause_code,cause_name,result_group,result_code,result_desc,reason_code,reason_desc,is_auto,comment
2026-06-06,AI,SA01,"ASSY, JOINT, 3IN1_SKW_32inch , M/I",1,ETC,기타,Scrap_Defect,B201,AI_PA#01,D102,Broken,N,SCRAP Scrap line 1 - do máy eye SP mất tín hiệu - kthuat
2026-06-02,MI,MI 5,"ASSY, JOINT, 3IN1_SKW_32inch , M/I",1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-02,MI,MI 5,"ASSY, JOINT, 3IN1_SKW_32inch , M/I",1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-08,AI,SA01,L55S7_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B201,AI_PA#01,D102,Broken,N,"SCRAP scrap do magazine hỏng , chật , xụp rớt pcb"
2026-06-08,AI,SA01,L55S7_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B201,AI_PA#01,D102,Broken,N,"SCRAP scrap do magazine hỏng , chật , xụp rớt pcb"
2026-06-11,SMT,PS02,L55S7_HVD,1,ETC,기타,Scrap_Defect,B202,SMT_PS#01,D102,Broken,N,SMD :: REPAIR SCRAP
2026-06-14,SMT,PS02,L55S7_HVD,1,ETC,기타,SMT_PS#01,S106,Part Broken,C003,Part Broken,N,SMD :: SCRAP
2026-06-01,MI,MI 3,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-01,MI,MI 3,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-01,MI,MI 5,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-02,MI,MI 2,L55S7_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B211,DSP#01,D102,Broken,N,SCRAP Do công Nhân Ngoại Quan Lấy Board Từ Xe Để Kiểm 2 board Dính Nhau Dẫn Tới 1 board Bị rơi xuống gây bể
2026-06-02,MI,MI 4,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-04,MI,MI 2,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-05,MI,MI 3,L55S7_HVD,1,CRACK,크랙/균열,Scrap_Defect,B202,SMT_PS#01,C027,PCB Broken,N,SCRAP Do op Tại công đoạn  ngoại quan bắt được bị nứt mạch không rõ nguyên  nhân
2026-06-05,MI,MI 2,L55S7_HVD,1,CRACK,크랙/균열,Scrap_Defect,B204,ICT_PM#01,D109,ETC ( Add Comment ),N,"SCRAP Board test ICT báo lỗi , kiểm tra thấy có vết nứt không rõ nguyên nhân, PE và QE đang debug"
2026-06-05,MI,MI 2,L55S7_HVD,1,CRACK,크랙/균열,Scrap_Defect,B206,FT_PM#01,D109,ETC ( Add Comment ),N,"SCRAP Board gãy test FT  kiểm tra thấy có vết nứt không rõ nguyên nhân, PE và QE đang debug"
2026-06-05,MI,MI 2,L55S7_HVD,1,BROKEN_DROP,낙하/파손,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,"SCRAP Viền board chưa được cắt NG liệu đầu vào, OP không chú ý bẻ viền test FT tay gây bể board"
