col_0,Cus,Cut off Cargo,HQ Rqt,Inch,model,code,ERP,PO,_TTLShip,GAP,현재재고,Plan.2026-06-20 00:00:00,2026-06-21 00:00:00,2026-06-22 00:00:00,2026-06-23 00:00:00,2026-06-24 00:00:00,2026-06-25 00:00:00,2026-06-26 00:00:00,2026-06-27 00:00:00,2026-06-28 00:00:00,2026-06-29 00:00:00,2026-06-30 00:00:00,2026-07-01 00:00:00,2026-07-02 00:00:00,2026-07-03 00:00:00,예상계획,TTLstock,BALANCE,col_29
,SAMEX,2026-06-27 17:00:00,2026-06-30 00:00:00,"75""",L75S7_HVD,BN44-01422A,0137750274CA,1227,17524,-4245,13279,0,0,0,4938,0,0,0,0,0,0,0,0,0,0,4938,18217,693,
,SEHC,2026-06-25 00:00:00,2026-06-25 00:00:00,"65""",L65E70A_HVD,BN44-01427A,0137650511CA,7500,,4439,,,,,,,,,,,,,,,,,,,
,SEEG,2026-06-28 08:00:00,2026-06-29 00:00:00,"65""",L65E70A_HVD,BN44-01427A,0137650511CA,922,8422,3517,11939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11939,3517,
,SEHC,2026-06-25 00:00:00,2026-06-25 00:00:00,"55""",L55F70NA_HHS,BN44-01438A,0137556101CA,632,,3515,,,,,,,,,,,,,,,,,,,
,SAMEX,2026-06-27 17:00:00,2026-06-30 00:00:00,"55""",L55F70NA_HHS,BN44-01438A,0137556101CA,5067,5699,-1552,4147,0,0,0,2956,0,0,0,0,0,0,0,0,0,0,2956,7103,1404,
,SEHC,2026-06-25 00:00:00,2026-06-25 00:00:00,"55""",L55E70NA_HVD,BN44-01426B,0137556107CA,528,,-182,,,,,,,,,,,,,,,,,,,
,SEEG,2026-06-28 08:00:00,2026-06-29 00:00:00,"55""",L55E70NA_HVD,BN44-01426B,0137556107CA,967,,-621,,,,,,,,,,,,,,,,,,,
,SIEL,2026-06-29 10:00:00,2026-06-26 00:00:00,"55""",L55E70NA_HVD,BN44-01426B,0137556107CA,340,1835,-961,346,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,3000,3346,1511,
,SEEG,2026-06-28 08:00:00,2026-06-29 00:00:00,"65""",L65S8N_HVD,BN44-01433B,0137650517CA,1794,,-1277,,,,,,,,,,,,,,,,,,,
,SIEL,2026-06-29 10:00:00,2026-06-26 00:00:00,"65""",L65S8N_HVD,BN44-01433B,0137650517CA,68,1862,-1345,517,0,0,0,0,0,0,0,3000,1000,0,0,0,0,0,4000,4517,2655,
,SEH (PD),2026-06-27 02:00:00,2026-06-25 00:00:00,"55""",L55S7_HVD,BN44-01420E,0137556113CA,23900,,12510,,,,,,,,,,,,,,,,,,,
,SEHC,2026-06-25 00:00:00,2026-06-25 00:00:00,"55""",L55S7_HVD,BN44-01420E,0137556113CA,15900,39800,-3390,36410,,,0,2260,2700,600,5200,11000,4040,,,,,,25800,62210,22410,
,SEHC,2026-06-25 00:00:00,2026-06-30 00:00:00,"75""",L75E70NA_HVD,BN44-01428A,0137750280CA,2430,,31,,,,,,,,,,,,,,,,,,,
,SAMEX,2026-06-27 17:00:00,2026-06-25 00:00:00,"75""",L75E70NA_HVD,BN44-01428A,0137750280CA,3500,5930,-3469,2461,0,0,0,0,0,0,1700,0,0,0,0,0,0,0,1700,4161,-1769,over SOP 
,SEH (PD),2026-06-27 02:00:00,2026-06-25 00:00:00,"48""",L48CA9N_HVD,BN44-01394A,0137480160CA,2300,2300,18,2318,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,2000,4318,2018,
,SEHC,2026-06-25 00:00:00,2026-06-25 00:00:00,"55""",L55S7N_HVD,BN44-01420G,0137556115CA,3300,3300,2864,6164,,,0,0,0,0,0,0,0,,,,,,0,6164,2864,
,SEHC,2026-06-25 00:00:00,2026-06-25 00:00:00,"75""",L75S7N_HVD,BN44-01422C,0137750276CA,76,76,4771,4847,,,0,0,0,0,0,0,0,,,,,,0,4847,4771,
,SEHC,2026-06-25 00:00:00,2026-06-25 00:00:00,"85""",L85E70NW_HVD,BN44-01429B,0137850186CA,70,70,-70,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,110,110,40,
,SEHC,2026-06-25 00:00:00,2026-06-25 00:00:00,"65""",L65S8_HVD,BN44-01433A,0137650496CA,9300,9300,41415,50715,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,50715,41415,
,SEHC,2026-06-25 00:00:00,2026-06-25 00:00:00,"65""",L65S8W_HVD,BN44-01433C,0137650518CA,200,200,241,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,241,
